y,roach1,treatment,senior,exposure2
0,0.0,1,1,0.8
0,14.0,1,1,0.8
0,5.0,1,1,1.0
0,0.0,1,1,1.0
0,104.0,1,1,0.685714285714286
183,27.0,1,1,1.0
28,132.0,1,1,1.0
49,258.0,1,1,1.0
1,1.0,1,1,1.0
0,2.0,1,1,1.0
0,6.0,1,1,1.0
3,3.0,1,1,0.8
0,3.0,1,1,0.857142857142857
0,0.0,1,1,1.0
0,0.0,1,1,1.0
0,0.0,1,1,1.0
18,1.25,1,1,1.0
0,0.0,1,1,1.0
0,16.0,1,1,1.0
5,68.0,1,1,0.4
0,1.0,1,1,0.8
19,18.0,1,1,1.14285714285714
5,123.67,1,1,1.0
0,2.0,1,1,0.8
27,82.5,1,1,1.0
0,0.0,1,1,0.2
0,1.25,1,1,1.0
77,171.0,1,1,1.0
1,91.88,1,1,1.0
3,5.0,1,1,1.0
2,7.0,1,1,1.0
0,0.0,1,1,1.0
0,4.0,1,1,1.0
22,53.75,1,1,1.0
102,138.06,1,1,1.14285714285714
0,1.0,1,1,1.14285714285714
0,1.25,1,1,1.0
0,28.0,1,1,0.8
0,15.0,1,1,1.0
0,0.88,1,1,0.8
0,0.0,1,1,1.0
0,33.0,1,1,1.0
4,136.25,1,1,4.28571428571429
12,127.5,1,1,0.8
2,2.0,1,1,0.8
0,2.0,1,1,0.8
0,0.0,1,1,1.0
1,3.0,1,1,1.0
0,46.0,1,1,1.28571428571429
40,68.0,1,1,1.0
0,0.0,1,1,1.0
1,49.0,1,1,1.0
2,27.13,1,1,1.0
27,45.5,1,0,1.0
0,0.0,1,0,0.457142857142857
2,4.0,1,0,1.0
0,0.0,1,0,2.42857142857143
0,1.0,1,0,1.42857142857143
0,0.0,1,0,1.0
0,0.0,1,0,1.0
3,10.5,1,0,1.14285714285714
1,0.0,1,0,1.0
20,3.0,1,0,1.14285714285714
0,0.0,1,0,1.0
0,0.0,1,0,1.0
0,0.0,1,0,1.0
0,3.75,1,0,0.8
0,0.0,1,0,1.14285714285714
0,0.0,1,0,1.0
0,0.0,0,0,0.8
0,0.88,0,0,1.57142857142857
0,2.0,1,0,1.0
53,81.0,1,0,1.14285714285714
69,31.0,1,0,2.28571428571429
15,10.0,1,0,1.0
0,10.23,1,0,0.571428571428571
2,0.0,0,0,0.8
4,13.0,1,0,0.857142857142857
6,1.0,1,0,0.8
8,33.25,1,0,0.857142857142857
0,0.0,0,0,2.28571428571429
0,53.0,0,0,0.8
0,5.0,1,0,1.0
18,157.0,1,0,0.857142857142857
38,23.33,1,0,1.0
0,6.0,1,0,1.02857142857143
2,10.0,1,0,0.6
18,100.0,1,0,0.857142857142857
34,55.0,1,0,1.0
1,0.0,1,0,0.8
109,16.25,1,0,1.0
5,7.78,1,0,1.48571428571429
15,53.0,1,0,1.0
0,2.0,1,0,1.0
64,73.0,1,0,1.0
0,0.0,1,0,0.8
1,0.0,1,0,0.8
0,0.0,1,0,1.0
1,3.18,1,0,1.0
3,5.0,0,0,0.857142857142857
5,3.0,0,0,0.8
7,0.0,0,0,1.0
18,10.0,0,0,0.8
1,1.0,0,0,1.0
0,0.0,1,0,1.0
0,1.0,1,0,0.8
3,12.0,1,0,1.0
3,17.0,1,0,1.0
0,16.0,1,0,1.0
19,2.5,1,0,1.42857142857143
0,0.0,1,0,1.71428571428571
8,21.88,1,0,0.771428571428571
26,173.0,1,0,0.8
50,111.0,1,0,1.0
15,35.0,1,0,1.85714285714286
0,0.0,1,0,1.0
19,3.0,1,0,1.0
5,2.1,1,0,1.0
17,0.0,1,0,1.0
121,49.0,1,0,1.0
1,1.25,1,0,1.0
0,1.0,1,0,0.8
0,1.0,1,0,1.0
0,0.0,1,0,1.0
0,0.0,1,0,2.28571428571429
4,54.0,1,0,0.8
1,4.2,1,0,1.42857142857143
14,51.25,1,0,1.02857142857143
1,30.0,1,0,1.71428571428571
25,196.0,0,0,1.14285714285714
0,0.0,0,0,1.14285714285714
14,2.0,0,0,1.0
0,1.5,0,0,1.0
59,96.25,0,0,1.14285714285714
243,241.5,0,0,0.8
80,140.0,0,0,1.42857142857143
69,18.0,0,0,0.914285714285714
14,3.0,0,0,1.14285714285714
9,0.54,0,0,1.28571428571429
38,82.0,0,0,0.6
37,19.0,0,0,1.0
48,18.75,0,0,0.8
293,51.0,0,0,1.14285714285714
7,0.0,0,0,1.0
10,1.0,0,0,1.42857142857143
19,0.0,0,0,1.0
24,5.44,0,0,1.0
91,0.0,0,0,1.0
1,3.0,0,1,1.0
0,0.0,0,1,1.0
0,0.0,0,1,1.0
0,0.0,0,1,1.0
0,0.0,0,1,1.0
148,28.75,0,1,1.14285714285714
3,0.0,0,1,0.857142857142857
26,3.0,0,1,1.0
12,2.0,0,1,1.0
77,135.0,0,1,1.0
0,0.0,0,1,1.0
7,68.25,0,1,1.0
0,1.0,0,1,1.0
1,0.0,0,1,1.0
0,0.0,0,1,0.6
17,0.0,0,1,1.02857142857143
0,1.0,0,1,1.0
7,1.0,0,1,1.0
11,2.5,0,1,0.685714285714286
6,51.25,0,1,0.8
50,13.13,0,1,1.0
1,0.0,0,1,0.8
0,0.0,0,1,1.48571428571429
0,0.0,0,1,1.0
0,0.0,0,1,1.0
171,0.0,0,1,1.0
8,0.0,0,1,1.0
